codcom;commune;RP2020;Département;Nom_CPTS;FINESS;Nom_CPTS_Miniscule;Statut
09001;Aigues-Juntes;57;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09002;Aigues-Vives;634;09-Ariège;;;;
09003;L'Aiguillon;381;09-Ariège;;;;
09004;Albiès;120;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09005;Aleu;128;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09006;Alliat;56;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09007;Allières;73;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09008;Alos;120;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09009;Alzen;267;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09011;Antras;74;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09012;Appy;28;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09013;Arabaux;81;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09014;Argein;192;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09015;Arignac;702;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09016;Arnave;217;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09017;Arrien-en-Bethmale;112;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09018;Arrout;90;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09019;Artigat;560;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09020;Artigues;35;09-Ariège;;;;
09021;Artix;118;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09022;Arvigna;222;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09023;Ascou;119;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09024;Aston;203;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09025;Aucazein;53;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09026;Audressein;151;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09027;Augirein;79;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09029;Aulus-les-Bains;159;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
09030;Auzat;501;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09031;Axiat;43;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09032;Ax-les-Thermes;1285;09-Ariège;CPTS ARIEGE PYRENEES;09 000 475 5;Ariège Pyrénées;Accord conventionnel interprofessionnel signé
09033;Bagert;36;09-Ariège;CPTS ARIEGE COUSERANS;09 000 491 2;Ariège Couserans;Accord conventionnel interprofessionnel signé
